team_id,team,conference,games,wins,losses,win_pct,avg_margin,ppg_for,ppg_against,pyth_win_pct,luck_overperformance,close_share_5,close_win_pct_5,close_games_5,close_wins_5,close_losses_5,adj_em
153,North Carolina Tar Heels,Atlantic Coast Conference,25.0,20.0,5.0,0.8,11.36,81.8,70.44,0.8480558583011092,-0.048055858301109144,0.24,0.8333333333333334,6.0,5.0,1.0,11.36
2670,VCU Rams,Atlantic 10 Conference,26.0,20.0,6.0,0.7692307692307693,11.0,83.5,72.5,0.8354135358826064,-0.06618276665183709,0.11538461538461539,0.3333333333333333,3.0,1.0,2.0,11.0
228,Clemson Tigers,Atlantic Coast Conference,26.0,20.0,6.0,0.7692307692307693,10.115384615384615,74.8076923076923,64.6923076923077,0.8416693640158941,-0.07243859478512482,0.38461538461538464,0.7,10.0,7.0,3.0,10.115384615384615
2630,UT Martin Skyhawks,Ohio Valley Conference,27.0,20.0,7.0,0.7407407407407407,9.0,72.51851851851852,63.51851851851852,0.8211076994988658,-0.08036695875812505,0.2222222222222222,0.8333333333333334,6.0,5.0,1.0,9.0
222,Villanova Wildcats,Big East Conference,25.0,20.0,5.0,0.8,8.64,77.76,69.12,0.7948651500294793,0.005134849970520716,0.2,0.6,5.0,3.0,2.0,8.64
97,Louisville Cardinals,Atlantic Coast Conference,25.0,19.0,6.0,0.76,15.96,86.88,70.92,0.9116714922119769,-0.15167149221197684,0.04,0.0,1.0,0.0,1.0,15.96
57,Florida Gators,Southeastern Conference,25.0,19.0,6.0,0.76,15.04,86.48,71.44,0.8999919578017068,-0.1399919578017068,0.24,0.3333333333333333,6.0,2.0,4.0,15.04
8,Arkansas Razorbacks,Southeastern Conference,25.0,19.0,6.0,0.76,12.28,88.76,76.48,0.8471510114098145,-0.08715101140981452,0.2,0.8,5.0,4.0,1.0,12.28
252,BYU Cougars,Big 12 Conference,25.0,19.0,6.0,0.76,11.96,86.48,74.52,0.8470598542040971,-0.08705985420409712,0.32,0.75,8.0,6.0,2.0,11.96
167,New Mexico Lobos,Mountain West Conference,25.0,19.0,6.0,0.76,11.28,80.8,69.52,0.8493060406725736,-0.08930604067257364,0.16,0.5,4.0,2.0,2.0,11.28
